"variable","stage","strata","abs_smd"
"Male","Before stratification","Overall",0.390317002131392
"Male","Before stratification","1",0.390317002131392
"NonWhite","Before stratification","Overall",0.509201351261528
"NonWhite","Before stratification","1",0.509201351261528
"SES","Before stratification","Overall",0.582186154266121
"SES","Before stratification","1",0.582186154266121
"Arts","Before stratification","Overall",0.166557120202853
"Arts","Before stratification","1",0.166557120202853
"ReadK","Before stratification","Overall",0.252700515229236
"ReadK","Before stratification","1",0.252700515229236
"Age","Before stratification","Overall",0.154201296515432
"Age","Before stratification","1",0.154201296515432
"Catholic","Before stratification","Overall",0.211295189151903
"Catholic","Before stratification","1",0.211295189151903
"OthPriv","Before stratification","Overall",0.0545545308584162
"OthPriv","Before stratification","1",0.0545545308584162
"SchKEnrl","Before stratification","Overall",0.0873077031386436
"SchKEnrl","Before stratification","1",0.0873077031386436
"Male","Within stratum","Overall",0.390317002131392
"Male","Within stratum","1",0.0261017912801265
"Male","Within stratum","2",0.0480438228827948
"Male","Within stratum","3",0.0330153727496111
"Male","Within stratum","4",0.0492617036081928
"Male","Within stratum","5",0.205899277004244
"NonWhite","Within stratum","Overall",0.509201351261528
"NonWhite","Within stratum","1",0.0534623538923873
"NonWhite","Within stratum","2",0.0577839470337289
"NonWhite","Within stratum","3",0.0765216747182331
"NonWhite","Within stratum","4",0.0920574530520428
"NonWhite","Within stratum","5",0.0418031955618823
"SES","Within stratum","Overall",0.582186154266121
"SES","Within stratum","1",0.283789303269486
"SES","Within stratum","2",0.136714039788858
"SES","Within stratum","3",0.189871120022065
"SES","Within stratum","4",0.0581859008782937
"SES","Within stratum","5",0.000183614780823146
"Arts","Within stratum","Overall",0.166557120202853
"Arts","Within stratum","1",0.177941678735422
"Arts","Within stratum","2",0.0231820749985631
"Arts","Within stratum","3",0.0542594248394235
"Arts","Within stratum","4",0.0434311731426872
"Arts","Within stratum","5",0.0104711496835701
"ReadK","Within stratum","Overall",0.252700515229236
"ReadK","Within stratum","1",0.239246104284995
"ReadK","Within stratum","2",0.118776557896475
"ReadK","Within stratum","3",0.0280446205454876
"ReadK","Within stratum","4",0.019139024300671
"ReadK","Within stratum","5",0.0162578776430989
"Age","Within stratum","Overall",0.154201296515432
"Age","Within stratum","1",0.091017803531691
"Age","Within stratum","2",0.0235582971722304
"Age","Within stratum","3",0.0292372305467108
"Age","Within stratum","4",0.0126913973507974
"Age","Within stratum","5",0.0662418139493632
"Catholic","Within stratum","Overall",0.211295189151903
"Catholic","Within stratum","1",0.214788055872368
"Catholic","Within stratum","2",0.000165499510658191
"Catholic","Within stratum","3",0.0490308522982806
"Catholic","Within stratum","4",0.04190375006147
"Catholic","Within stratum","5",0.0253976926185729
"OthPriv","Within stratum","Overall",0.0545545308584162
"OthPriv","Within stratum","1",0.0862637651590783
"OthPriv","Within stratum","2",0.00810768765398317
"OthPriv","Within stratum","3",0.076817708566312
"OthPriv","Within stratum","4",0.0580821004968565
"OthPriv","Within stratum","5",0.0348233522494546
"SchKEnrl","Within stratum","Overall",0.0873077031386436
"SchKEnrl","Within stratum","1",0.252542654961165
"SchKEnrl","Within stratum","2",0.0888231602372579
"SchKEnrl","Within stratum","3",0.0396767703137737
"SchKEnrl","Within stratum","4",0.0389073448871618
"SchKEnrl","Within stratum","5",0.0812899307780246
