"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",-2.938876754614,0.347771702308878,-8.45059196910678,2.89829501247525e-17,-3.62114042679259,-2.25778799767038
"Male",0.892582759659537,0.0413108127636463,21.6065165497062,1.55981754375992e-103,0.811784833607335,0.97372855828511
"NonWhite",-0.892930208288613,0.0459013845530278,-19.4532303760261,2.73636941132883e-84,-0.983184615420459,-0.803239632692067
"SES",0.656305153817209,0.0314943535510315,20.8388196555225,1.92527343559921e-96,0.594795877088807,0.718258773039255
"Arts",0.242471683215707,0.0576958926996259,4.20258136013344,2.63888354533345e-05,0.129273438874739,0.355463635600245
"ReadK",0.00590872538705367,0.00154269038898034,3.83014338409091,0.000128068612276391,0.0028884694850687,0.00893715459669947
"Age",0.0232139436235473,0.00460524241883131,5.0407647442452,4.63675186884842e-07,0.014189282528285,0.0322430960378714
"Catholic",0.333136242944281,0.0624528394906996,5.33420490823145,9.5964108663741e-08,0.210713660581222,0.455547939303741
"OthPriv",-0.262639240320482,0.0745434769122291,-3.52330279186903,0.000426204142292204,-0.409143741598927,-0.116895557298884
"SchKEnrl",0.000484549157217259,0.000525193068543154,0.922611485641579,0.356209707997343,-0.00054557506614924,0.0015133240126093
