"variable","stage","strata","abs_smd"
"Male","Before stratification","Overall",0.39
"Male","Before stratification","1",0.39
"NonWhite","Before stratification","Overall",0.509
"NonWhite","Before stratification","1",0.509
"SES","Before stratification","Overall",0.582
"SES","Before stratification","1",0.582
"Arts","Before stratification","Overall",0.167
"Arts","Before stratification","1",0.167
"ReadK","Before stratification","Overall",0.253
"ReadK","Before stratification","1",0.253
"Age","Before stratification","Overall",0.154
"Age","Before stratification","1",0.154
"Catholic","Before stratification","Overall",0.211
"Catholic","Before stratification","1",0.211
"OthPriv","Before stratification","Overall",0.055
"OthPriv","Before stratification","1",0.055
"SchKEnrl","Before stratification","Overall",0.087
"SchKEnrl","Before stratification","1",0.087
"Male","Within stratum","Overall",0.39
"Male","Within stratum","1",0.026
"Male","Within stratum","2",0.048
"Male","Within stratum","3",0.033
"Male","Within stratum","4",0.049
"Male","Within stratum","5",0.206
"NonWhite","Within stratum","Overall",0.509
"NonWhite","Within stratum","1",0.053
"NonWhite","Within stratum","2",0.058
"NonWhite","Within stratum","3",0.077
"NonWhite","Within stratum","4",0.092
"NonWhite","Within stratum","5",0.042
"SES","Within stratum","Overall",0.582
"SES","Within stratum","1",0.284
"SES","Within stratum","2",0.137
"SES","Within stratum","3",0.19
"SES","Within stratum","4",0.058
"SES","Within stratum","5",0
"Arts","Within stratum","Overall",0.167
"Arts","Within stratum","1",0.178
"Arts","Within stratum","2",0.023
"Arts","Within stratum","3",0.054
"Arts","Within stratum","4",0.043
"Arts","Within stratum","5",0.01
"ReadK","Within stratum","Overall",0.253
"ReadK","Within stratum","1",0.239
"ReadK","Within stratum","2",0.119
"ReadK","Within stratum","3",0.028
"ReadK","Within stratum","4",0.019
"ReadK","Within stratum","5",0.016
"Age","Within stratum","Overall",0.154
"Age","Within stratum","1",0.091
"Age","Within stratum","2",0.024
"Age","Within stratum","3",0.029
"Age","Within stratum","4",0.013
"Age","Within stratum","5",0.066
"Catholic","Within stratum","Overall",0.211
"Catholic","Within stratum","1",0.215
"Catholic","Within stratum","2",0
"Catholic","Within stratum","3",0.049
"Catholic","Within stratum","4",0.042
"Catholic","Within stratum","5",0.025
"OthPriv","Within stratum","Overall",0.055
"OthPriv","Within stratum","1",0.086
"OthPriv","Within stratum","2",0.008
"OthPriv","Within stratum","3",0.077
"OthPriv","Within stratum","4",0.058
"OthPriv","Within stratum","5",0.035
"SchKEnrl","Within stratum","Overall",0.087
"SchKEnrl","Within stratum","1",0.253
"SchKEnrl","Within stratum","2",0.089
"SchKEnrl","Within stratum","3",0.04
"SchKEnrl","Within stratum","4",0.039
"SchKEnrl","Within stratum","5",0.081
